,Index1,Times,IMU_Task3,ax1,ay2,az3,gx4,gy5,gz6
0,2,1661079114,IMU,0.03,-0.08,1.02,-0.43,0.73,0.73
1,3,1661079114,IMU,0.03,-0.08,1.02,-0.55,0.92,1.04
2,4,1661079114,IMU,0.03,-0.08,1.03,-0.85,1.16,1.04
3,5,1661079114,IMU,0.03,-0.08,1.02,-0.85,1.04,0.92
4,6,1661079114,IMU,0.03,-0.08,1.02,-0.85,1.04,0.92
5,7,1661079114,IMU,0.04,-0.08,1.02,-1.04,0.85,0.85
6,8,1661079114,IMU,0.03,-0.08,1.02,-0.61,0.98,0.73
7,9,1661079114,IMU,0.03,-0.08,1.02,-0.85,0.92,0.92
8,10,1661079114,IMU,0.03,-0.08,1.02,-0.55,0.92,0.73
9,1,1661079136,IMU,0.04,-0.08,1.02,-0.79,0.67,0.67
10,2,1661079136,IMU,0.04,-0.08,1.02,-0.73,0.67,0.61
11,3,1661079136,IMU,0.04,-0.08,1.02,-0.92,0.85,0.98
12,4,1661079136,IMU,0.04,-0.08,1.02,-0.73,0.85,0.79
13,5,1661079136,IMU,0.04,-0.08,1.02,-0.79,0.73,0.67
14,6,1661079136,IMU,0.04,-0.08,1.02,-0.79,0.67,0.73
15,7,1661079136,IMU,0.04,-0.08,1.02,-0.92,0.67,0.79
16,8,1661079136,IMU,0.04,-0.08,1.02,-0.79,0.73,0.73
17,9,1661079136,IMU,0.04,-0.08,1.02,-0.85,0.61,0.98
18,10,1661079136,IMU,0.04,-0.08,1.02,-0.85,0.49,0.85
19,1,1661079150,IMU,0.03,-0.08,1.02,-0.73,1.1,0.79
20,2,1661079150,IMU,0.03,-0.08,1.02,-0.49,0.92,0.85
21,3,1661079150,IMU,0.03,-0.08,1.02,-0.67,0.98,0.92
22,4,1661079150,IMU,0.03,-0.08,1.02,-0.73,1.1,0.92
23,5,1661079150,IMU,0.03,-0.08,1.02,-0.98,0.92,0.92
24,6,1661079150,IMU,0.03,-0.08,1.02,-0.73,1.04,0.92
25,7,1661079150,IMU,0.03,-0.08,1.02,-0.55,0.98,0.61
26,8,1661079150,IMU,0.03,-0.08,1.02,-1.1,0.79,0.73
27,9,1661079150,IMU,0.04,-0.08,1.02,-0.98,0.92,0.92
28,10,1661079150,IMU,0.03,-0.08,1.02,-0.61,1.04,0.92
29,1,1661079305,IMU,4.0,-0.08,1.02,-0.79,0.79,0.98
30,2,1661079305,IMU,0.04,-0.08,1.02,-0.67,0.73,0.92
31,3,1661079305,IMU,0.04,-0.08,1.02,-0.49,0.92,0.73
32,4,1661079305,IMU,0.04,-0.08,1.02,-0.61,0.92,0.92
33,5,1661079305,IMU,0.04,-0.08,1.02,-0.67,1.04,0.98
34,6,1661079305,IMU,0.04,-0.08,1.02,-0.67,0.79,1.1
35,7,1661079305,IMU,0.04,-0.08,1.02,-0.79,0.92,1.16
36,8,1661079305,IMU,0.04,-0.08,1.02,-0.79,0.92,0.92
37,9,1661079305,IMU,0.04,-0.08,1.02,-0.61,0.92,0.85
38,10,1661079305,IMU,0.04,-0.08,1.02,-0.55,0.98,0.92
